,Unnamed: 0,r1,r2,r3,v
395276,395276,6.11,3.61,2.51114,0.0806
585673,585673,8.71,10.41,1.74182,0.01493
475168,475168,7.21,5.51,1.70834,0.01245
381146,381146,5.91,3.81,2.10312,0.0456
232748,232748,3.81,6.31,2.50305,0.08029
148719,148719,2.61,8.01,5.40521,0.08933
97197,97197,1.91,5.91,4.00364,0.02859
83830,83830,1.71,7.01,5.30252,0.01257
261245,261245,4.21,6.31,2.10734,0.04589
260912,260912,4.21,5.91,1.70544,0.01255
174131,174131,3.01,4.21,1.20729,0.01501
59499,59499,1.41,3.31,1.90211,0.01893
331328,331328,5.21,3.81,1.40898,0.00108
160946,160946,2.81,5.51,2.70582,0.08276
412394,412394,6.31,8.31,2.02896,0.0388
216453,216453,3.61,2.61,1.00688,0.061
98721,98721,1.91,7.91,6.00015,0.02834
520938,520938,7.81,10.11,2.33705,0.06648
110849,110849,2.11,5.21,3.10232,0.04583
154039,154039,2.71,5.81,3.10243,0.09065
243681,243681,4.01,1.11,2.90009,0.03057
436494,436494,6.71,1.71,5.00273,0.0126
584387,584387,8.71,7.81,0.92366,0.07949
344156,344156,5.41,2.01,3.40405,0.03757
175259,175259,3.01,5.61,2.60556,0.08246
68951,68951,1.51,6.21,4.70227,0.00199
123619,123619,2.31,3.41,1.1015,0.04259
70251,70251,1.51,7.91,6.40025,0.00185
34604,34604,1.01,7.81,6.80065,0.0468
88417,88417,1.81,3.91,2.10064,0.01891
88183,88183,1.81,3.61,1.80092,0.0157
414632,414632,6.41,1.11,5.30143,0.02254
500967,500967,7.61,2.01,5.60144,0.03708
539865,539865,8.11,5.91,2.20938,0.05505
485041,485041,7.31,10.01,2.70432,0.09669
504052,504052,7.61,5.91,1.70266,0.01207
373738,373738,5.81,3.41,2.40689,0.07155
456167,456167,6.91,9.61,2.70779,0.09695
160667,160667,2.81,5.21,2.40185,0.06535
85170,85170,1.71,8.71,7.00143,0.01262
418848,418848,6.41,7.51,1.12146,0.02043
521529,521529,7.91,0.91,7.00023,0.0859
414797,414797,6.41,1.31,5.10196,0.00171
129044,129044,2.31,10.21,7.90024,0.0641
238943,238943,3.91,5.11,1.21566,0.00919
431252,431252,6.61,4.11,2.50502,0.08068
427063,427063,6.51,8.91,2.4028,0.07218
336603,336603,5.31,1.51,3.80115,0.00282
542189,542189,8.11,9.81,1.75943,0.01622
715893,715893,10.51,9.31,1.21448,0.00809
128383,128383,2.31,9.31,7.00291,0.06408
455219,455219,6.91,8.41,1.51906,0.00218
134952,134952,2.41,8.61,6.20389,0.07279
106953,106953,2.01,9.21,7.20305,0.03714
605822,605822,9.01,7.71,1.30296,0.00198
246065,246065,4.01,5.11,1.11834,0.02219
372650,372650,5.81,2.11,3.70041,0.04623
102792,102792,2.01,4.01,2.00468,0.02333
26803,26803,0.91,7.11,6.20008,0.08588
680515,680515,10.11,1.91,8.20268,0.02841
