,r1,r2,v
810,1.41,0.81,0.24176
811,1.41,0.91,0.17353
812,1.41,1.01,0.12647
813,1.41,1.11,0.09375
814,1.41,1.21,0.07081
815,1.41,1.31,0.05466
816,1.41,1.41,0.04322
817,1.41,1.51,0.03505
818,1.41,1.61,0.02911
819,1.41,1.71,0.02471
820,1.41,1.81,0.02135
821,1.41,1.91,0.0187
822,1.41,2.01,0.01653
823,1.41,2.11,0.0147
824,1.41,2.21,0.01312
825,1.41,2.31,0.01171
826,1.41,2.41,0.01045
827,1.41,2.51,0.00929
828,1.41,2.61,0.00823
829,1.41,2.71,0.00725
830,1.41,2.81,0.00635
831,1.41,2.91,0.00551
832,1.41,3.01,0.00475
833,1.41,3.11,0.00406
834,1.41,3.21,0.00343
835,1.41,3.31,0.00288
836,1.41,3.41,0.00239
837,1.41,3.51,0.00197
838,1.41,3.61,0.00161
839,1.41,3.71,0.00131
840,1.41,3.81,0.00106
841,1.41,3.91,0.00086
842,1.41,4.01,0.00069
843,1.41,4.11,0.00056
844,1.41,4.21,0.00044
845,1.41,4.31,0.00035
846,1.41,4.41,0.00028
847,1.41,4.51,0.00021
848,1.41,4.61,0.00015
849,1.41,4.71,0.00011
850,1.41,4.81,7e-05
851,1.41,4.91,3e-05
852,1.41,5.01,-0.0
853,1.41,5.11,-3e-05
854,1.41,5.21,-5e-05
855,1.41,5.31,-6e-05
856,1.41,5.41,-7e-05
857,1.41,5.51,-8e-05
858,1.41,5.61,-9e-05
859,1.41,5.71,-9e-05
860,1.41,5.81,-9e-05
861,1.41,5.91,-9e-05
862,1.41,6.01,-8e-05
863,1.41,6.11,-8e-05
864,1.41,6.21,-8e-05
865,1.41,6.31,-7e-05
866,1.41,6.41,-7e-05
867,1.41,6.51,-6e-05
868,1.41,6.61,-6e-05
869,1.41,6.71,-5e-05
870,1.41,6.81,-5e-05
871,1.41,6.91,-5e-05
872,1.41,7.01,-4e-05
873,1.41,7.11,-4e-05
874,1.41,7.21,-4e-05
875,1.41,7.31,-3e-05
876,1.41,7.41,-3e-05
877,1.41,7.51,-3e-05
878,1.41,7.61,-2e-05
879,1.41,7.71,-2e-05
880,1.41,7.81,-2e-05
881,1.41,7.91,-2e-05
882,1.41,8.01,-2e-05
883,1.41,8.11,-1e-05
884,1.41,8.21,-1e-05
885,1.41,8.31,-1e-05
886,1.41,8.41,-1e-05
887,1.41,8.51,-1e-05
888,1.41,8.61,-1e-05
889,1.41,8.71,-0.0
890,1.41,8.81,-0.0
891,1.41,8.91,-0.0
892,1.41,9.01,-0.0
